PostalCode,Borough,Neighborhood,Postal Code,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
M3A,North York,Parkwoods,M3A,43.7532586,-79.3296565,3.0,Park,Food & Drink Shop,Yoga Studio,Donut Shop,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Drugstore
M4A,North York,Victoria Village,M4A,43.725882299999995,-79.31557159999998,0.0,Portuguese Restaurant,Coffee Shop,Hockey Arena,Intersection,Pizza Place,Electronics Store,Eastern European Restaurant,Dumpling Restaurant,Drugstore,Dessert Shop
M5A,Downtown Toronto,"Regent Park, Harbourfront",M5A,43.6542599,-79.3606359,0.0,Coffee Shop,Pub,Bakery,Park,Café,Breakfast Spot,Theater,Yoga Studio,Electronics Store,Restaurant
M6A,North York,"Lawrence Manor, Lawrence Heights",M6A,43.718517999999996,-79.46476329999999,0.0,Furniture / Home Store,Clothing Store,Accessories Store,Boutique,Miscellaneous Shop,Coffee Shop,Women's Store,Vietnamese Restaurant,Airport Service,Diner
M7A,Queen's Park,Ontario Provincial Government,M7A,43.6623015,-79.3894938,0.0,Coffee Shop,Sushi Restaurant,Yoga Studio,College Auditorium,Bar,Beer Bar,Smoothie Shop,Sandwich Place,Burger Joint,Burrito Place
M9A,Etobicoke,Islington Avenue,M9A,43.6678556,-79.53224240000002,,,,,,,,,,,
M1B,Scarborough,"Malvern, Rouge",M1B,43.806686299999996,-79.19435340000001,0.0,Fast Food Restaurant,Farmers Market,Event Space,Ethiopian Restaurant,Escape Room,Electronics Store,Eastern European Restaurant,Dumpling Restaurant,Drugstore,Donut Shop
M3B,North York,Don Mills North,M3B,43.745905799999996,-79.352188,0.0,Caribbean Restaurant,Gym,Café,Athletics & Sports,Japanese Restaurant,Doner Restaurant,Discount Store,Distribution Center,Dog Run,Donut Shop
M4B,East York,"Parkview Hill, Woodbine Gardens",M4B,43.7063972,-79.309937,0.0,Pizza Place,Gym / Fitness Center,Athletics & Sports,Gastropub,Intersection,Flea Market,Pet Store,Breakfast Spot,Bank,Pharmacy
M5B,Downtown Toronto,"Garden District, Ryerson",M5B,43.6571618,-79.37893709999999,0.0,Coffee Shop,Clothing Store,Bubble Tea Shop,Café,Japanese Restaurant,Middle Eastern Restaurant,Cosmetics Shop,Fast Food Restaurant,Burger Joint,Electronics Store
M6B,North York,Glencairn,M6B,43.709577,-79.44507259999999,0.0,Park,Japanese Restaurant,Pizza Place,Bakery,Sushi Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant
M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",M9B,43.6509432,-79.55472440000001,,,,,,,,,,,
M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek",M1C,43.7845351,-79.16049709999999,1.0,Bar,Yoga Studio,Dim Sum Restaurant,Event Space,Ethiopian Restaurant,Escape Room,Electronics Store,Eastern European Restaurant,Dumpling Restaurant,Drugstore
M3C,North York,Don Mills South,M3C,43.72589970000001,-79.340923,0.0,Gym,Restaurant,Coffee Shop,Grocery Store,Asian Restaurant,Sandwich Place,Bike Shop,Beer Store,Sporting Goods Shop,Italian Restaurant
M4C,East York,Woodbine Heights,M4C,43.695343900000005,-79.3183887,0.0,Park,Skating Rink,Beer Store,Athletics & Sports,Curling Ice,Donut Shop,Discount Store,Distribution Center,Dog Run,Doner Restaurant
M5C,Downtown Toronto,St. James Town,M5C,43.6514939,-79.3754179,0.0,Coffee Shop,Café,Gastropub,Cocktail Bar,Clothing Store,Cosmetics Shop,Beer Bar,Moroccan Restaurant,Creperie,Department Store
M6C,York,Humewood-Cedarvale,M6C,43.6937813,-79.42819140000002,0.0,Trail,Park,Field,Hockey Arena,Yoga Studio,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant
M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",M9C,43.6435152,-79.57720079999999,0.0,Pet Store,Beer Store,Pharmacy,Pizza Place,Coffee Shop,Café,Shopping Plaza,Liquor Store,Park,Gastropub
M1E,Scarborough,"Guildwood, Morningside, West Hill",M1E,43.7635726,-79.1887115,0.0,Restaurant,Mexican Restaurant,Electronics Store,Breakfast Spot,Rental Car Location,Intersection,Donut Shop,Medical Center,Bank,Discount Store
M4E,East Toronto,The Beaches,M4E,43.67635739999999,-79.2930312,0.0,Trail,Category_Neighborhood,Health Food Store,Pub,Yoga Studio,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run
M5E,Downtown Toronto,Berczy Park,M5E,43.644770799999996,-79.3733064,0.0,Coffee Shop,Cocktail Bar,Bakery,Pharmacy,Cheese Shop,Restaurant,Farmers Market,Beer Bar,Seafood Restaurant,Greek Restaurant
M6E,York,Caledonia-Fairbanks,M6E,43.6890256,-79.453512,3.0,Park,Women's Store,Pool,Donut Shop,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Dumpling Restaurant
M1G,Scarborough,Woburn,M1G,43.7709921,-79.21691740000001,0.0,Coffee Shop,Korean BBQ Restaurant,Yoga Studio,Donut Shop,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Dumpling Restaurant
M4G,East York,Leaside,M4G,43.7090604,-79.3634517,0.0,Coffee Shop,Sporting Goods Shop,Burger Joint,Furniture / Home Store,Bank,Sushi Restaurant,Shopping Mall,Electronics Store,Restaurant,Bike Shop
M5G,Downtown Toronto,Central Bay Street,M5G,43.6579524,-79.3873826,0.0,Coffee Shop,Sandwich Place,Café,Italian Restaurant,Burger Joint,Salad Place,Bubble Tea Shop,Ramen Restaurant,Modern European Restaurant,Japanese Restaurant
M6G,Downtown Toronto,Christie,M6G,43.669542,-79.4225637,0.0,Grocery Store,Café,Park,Coffee Shop,Candy Store,Athletics & Sports,Italian Restaurant,Restaurant,Baby Store,Nightclub
M1H,Scarborough,Cedarbrae,M1H,43.773136,-79.23947609999999,0.0,Caribbean Restaurant,Hakka Restaurant,Bakery,Bank,Fried Chicken Joint,Athletics & Sports,Thai Restaurant,Gas Station,Dog Run,Discount Store
M2H,North York,Hillcrest Village,M2H,43.8037622,-79.3634517,0.0,Fast Food Restaurant,Golf Course,Pool,Dog Run,Mediterranean Restaurant,Yoga Studio,Donut Shop,Diner,Discount Store,Distribution Center
M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North",M3H,43.7543283,-79.4422593,0.0,Coffee Shop,Bank,Mobile Phone Shop,Frozen Yogurt Shop,Bridal Shop,Sandwich Place,Diner,Restaurant,Deli / Bodega,Middle Eastern Restaurant
M4H,East York,Thorncliffe Park,M4H,43.7053689,-79.34937190000001,0.0,Indian Restaurant,Yoga Studio,Gym,Restaurant,Pizza Place,Pharmacy,Park,Middle Eastern Restaurant,Intersection,Grocery Store
M5H,Downtown Toronto,"Richmond, Adelaide, King",M5H,43.65057120000001,-79.3845675,0.0,Coffee Shop,Café,Restaurant,Thai Restaurant,Clothing Store,Deli / Bodega,Gym,Salad Place,Cosmetics Shop,Pizza Place
M6H,West Toronto,"Dufferin, Dovercourt Village",M6H,43.66900510000001,-79.4422593,0.0,Bakery,Pharmacy,Pet Store,Middle Eastern Restaurant,Music Venue,Park,Café,Brewery,Supermarket,Bar
M1J,Scarborough,Scarborough Village,M1J,43.7447342,-79.23947609999999,0.0,Jewelry Store,Playground,Yoga Studio,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Donut Shop,Drugstore
M2J,North York,"Fairview, Henry Farm, Oriole",M2J,43.7785175,-79.3465557,0.0,Clothing Store,Coffee Shop,Fast Food Restaurant,Juice Bar,Restaurant,Bank,Bakery,Shoe Store,Women's Store,Japanese Restaurant
M3J,North York,"Northwood Park, York University",M3J,43.7679803,-79.48726190000001,0.0,Caribbean Restaurant,Coffee Shop,Massage Studio,Bar,Miscellaneous Shop,Furniture / Home Store,Falafel Restaurant,Coworking Space,Creperie,Ethiopian Restaurant
M4J,East York/East Toronto,The Danforth  East,M4J,43.685347,-79.3381065,3.0,Park,Convenience Store,Yoga Studio,Donut Shop,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Dumpling Restaurant
M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",M5J,43.6408157,-79.38175229999999,0.0,Coffee Shop,Aquarium,Café,Hotel,Brewery,Scenic Lookout,Sporting Goods Shop,Fried Chicken Joint,Restaurant,Italian Restaurant
M6J,West Toronto,"Little Portugal, Trinity",M6J,43.647926700000006,-79.4197497,0.0,Bar,Vietnamese Restaurant,Restaurant,Vegetarian / Vegan Restaurant,Café,Men's Store,Asian Restaurant,Coffee Shop,New American Restaurant,Bistro
M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park",M1K,43.7279292,-79.26202940000002,0.0,Department Store,Discount Store,Chinese Restaurant,Coffee Shop,Hobby Shop,Donut Shop,Diner,Distribution Center,Dog Run,Doner Restaurant
M2K,North York,Bayview Village,M2K,43.7869473,-79.385975,0.0,Café,Chinese Restaurant,Bank,Japanese Restaurant,Doner Restaurant,Discount Store,Distribution Center,Dog Run,Yoga Studio,Diner
M3K,North York,Downsview East,M3K,43.737473200000004,-79.46476329999999,3.0,Airport,Park,Yoga Studio,Donut Shop,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Dumpling Restaurant
M4K,East Toronto,"The Danforth West, Riverdale",M4K,43.6795571,-79.352188,0.0,Greek Restaurant,Italian Restaurant,Coffee Shop,Bookstore,Furniture / Home Store,Ice Cream Shop,Dessert Shop,Pub,Caribbean Restaurant,Café
M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange",M5K,43.6471768,-79.38157640000001,0.0,Coffee Shop,Hotel,Café,Italian Restaurant,Salad Place,Restaurant,Seafood Restaurant,Japanese Restaurant,Asian Restaurant,Breakfast Spot
M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place",M6K,43.6368472,-79.42819140000002,0.0,Café,Breakfast Spot,Coffee Shop,Yoga Studio,Bakery,Stadium,Burrito Place,Restaurant,Climbing Gym,Pet Store
M1L,Scarborough,"Golden Mile, Clairlea, Oakridge",M1L,43.711111700000004,-79.2845772,0.0,Bus Line,Bakery,Park,Intersection,Bus Station,Ice Cream Shop,Cosmetics Shop,Construction & Landscaping,Ethiopian Restaurant,Escape Room
M2L,North York,"York Mills, Silver Hills",M2L,43.7574902,-79.37471409999999,2.0,Martial Arts School,Yoga Studio,Falafel Restaurant,Ethiopian Restaurant,Escape Room,Electronics Store,Eastern European Restaurant,Dumpling Restaurant,Drugstore,Donut Shop
